,date,actions
0,2021-01-04,[100]
1,2021-01-05,[100]
2,2021-01-06,[100]
3,2021-01-07,[100]
4,2021-01-08,[100]
5,2021-01-11,[100]
6,2021-01-12,[100]
7,2021-01-13,[100]
8,2021-01-14,[100]
9,2021-01-15,[100]
10,2021-01-19,[100]
11,2021-01-20,[100]
12,2021-01-21,[100]
13,2021-01-22,[100]
14,2021-01-25,[100]
15,2021-01-26,[100]
16,2021-01-27,[100]
17,2021-01-28,[100]
18,2021-01-29,[100]
19,2021-02-01,[100]
20,2021-02-02,[100]
21,2021-02-03,[100]
22,2021-02-04,[100]
23,2021-02-05,[100]
24,2021-02-08,[100]
25,2021-02-09,[100]
26,2021-02-10,[100]
27,2021-02-11,[100]
28,2021-02-12,[100]
29,2021-02-16,[100]
30,2021-02-17,[100]
31,2021-02-18,[100]
32,2021-02-19,[100]
33,2021-02-22,[100]
34,2021-02-23,[100]
35,2021-02-24,[100]
36,2021-02-25,[100]
37,2021-02-26,[100]
38,2021-03-01,[100]
39,2021-03-02,[100]
40,2021-03-03,[100]
41,2021-03-04,[100]
42,2021-03-05,[100]
43,2021-03-08,[100]
44,2021-03-09,[100]
45,2021-03-10,[100]
46,2021-03-11,[100]
47,2021-03-12,[100]
48,2021-03-15,[100]
49,2021-03-16,[100]
50,2021-03-17,[100]
51,2021-03-18,[100]
52,2021-03-19,[100]
53,2021-03-22,[100]
54,2021-03-23,[100]
55,2021-03-24,[100]
56,2021-03-25,[100]
57,2021-03-26,[100]
58,2021-03-29,[100]
59,2021-03-30,[100]
60,2021-03-31,[100]
61,2021-04-01,[100]
62,2021-04-05,[100]
63,2021-04-06,[100]
64,2021-04-07,[100]
65,2021-04-08,[100]
66,2021-04-09,[100]
67,2021-04-12,[100]
68,2021-04-13,[100]
69,2021-04-14,[100]
70,2021-04-15,[100]
71,2021-04-16,[100]
72,2021-04-19,[100]
73,2021-04-20,[100]
74,2021-04-21,[100]
75,2021-04-22,[100]
76,2021-04-23,[100]
77,2021-04-26,[100]
78,2021-04-27,[100]
79,2021-04-28,[100]
80,2021-04-29,[100]
81,2021-04-30,[100]
82,2021-05-03,[100]
83,2021-05-04,[100]
84,2021-05-05,[100]
85,2021-05-06,[100]
86,2021-05-07,[100]
87,2021-05-10,[100]
88,2021-05-11,[100]
89,2021-05-12,[100]
90,2021-05-13,[100]
91,2021-05-14,[100]
92,2021-05-17,[100]
93,2021-05-18,[100]
94,2021-05-19,[100]
95,2021-05-20,[100]
96,2021-05-21,[100]
97,2021-05-24,[100]
98,2021-05-25,[100]
99,2021-05-26,[100]
100,2021-05-27,[100]
101,2021-05-28,[100]
102,2021-06-01,[100]
103,2021-06-02,[100]
104,2021-06-03,[100]
105,2021-06-04,[100]
106,2021-06-07,[100]
107,2021-06-08,[100]
108,2021-06-09,[100]
109,2021-06-10,[100]
110,2021-06-11,[100]
111,2021-06-14,[100]
112,2021-06-15,[100]
113,2021-06-16,[100]
114,2021-06-17,[100]
115,2021-06-18,[100]
116,2021-06-21,[100]
117,2021-06-22,[100]
118,2021-06-23,[100]
119,2021-06-24,[100]
120,2021-06-25,[100]
121,2021-06-28,[100]
122,2021-06-29,[100]
123,2021-06-30,[100]
124,2021-07-01,[100]
125,2021-07-02,[100]
126,2021-07-06,[100]
127,2021-07-07,[100]
128,2021-07-08,[100]
129,2021-07-09,[100]
130,2021-07-12,[100]
131,2021-07-13,[100]
132,2021-07-14,[100]
133,2021-07-15,[100]
134,2021-07-16,[100]
135,2021-07-19,[100]
136,2021-07-20,[100]
137,2021-07-21,[100]
138,2021-07-22,[100]
139,2021-07-23,[100]
140,2021-07-26,[100]
141,2021-07-27,[100]
142,2021-07-28,[100]
143,2021-07-29,[100]
144,2021-07-30,[100]
145,2021-08-02,[100]
146,2021-08-03,[100]
147,2021-08-04,[100]
148,2021-08-05,[100]
149,2021-08-06,[100]
150,2021-08-09,[100]
151,2021-08-10,[100]
152,2021-08-11,[100]
153,2021-08-12,[100]
154,2021-08-13,[100]
155,2021-08-16,[100]
156,2021-08-17,[100]
157,2021-08-18,[100]
158,2021-08-19,[100]
159,2021-08-20,[100]
160,2021-08-23,[100]
161,2021-08-24,[100]
162,2021-08-25,[100]
163,2021-08-26,[100]
164,2021-08-27,[100]
165,2021-08-30,[100]
166,2021-08-31,[100]
167,2021-09-01,[100]
168,2021-09-02,[100]
169,2021-09-03,[100]
170,2021-09-07,[100]
171,2021-09-08,[100]
172,2021-09-09,[100]
173,2021-09-10,[100]
