,date,actions
0,2018-11-20,[100]
1,2018-11-21,[100]
2,2018-11-23,[100]
3,2018-11-26,[100]
4,2018-11-27,[100]
5,2018-11-28,[100]
6,2018-11-29,[100]
7,2018-11-30,[100]
8,2018-12-03,[100]
9,2018-12-04,[100]
10,2018-12-06,[100]
11,2018-12-07,[100]
12,2018-12-10,[100]
13,2018-12-11,[100]
14,2018-12-12,[100]
15,2018-12-13,[100]
16,2018-12-14,[100]
17,2018-12-17,[100]
18,2018-12-18,[100]
19,2018-12-19,[100]
20,2018-12-20,[100]
21,2018-12-21,[100]
22,2018-12-24,[100]
23,2018-12-26,[100]
24,2018-12-27,[100]
25,2018-12-28,[100]
26,2018-12-31,[100]
27,2019-01-02,[100]
28,2019-01-03,[100]
29,2019-01-04,[100]
30,2019-01-07,[100]
31,2019-01-08,[100]
32,2019-01-09,[100]
33,2019-01-10,[100]
34,2019-01-11,[100]
35,2019-01-14,[100]
36,2019-01-15,[100]
37,2019-01-16,[100]
38,2019-01-17,[100]
39,2019-01-18,[100]
40,2019-01-22,[100]
41,2019-01-23,[100]
42,2019-01-24,[100]
43,2019-01-25,[100]
44,2019-01-28,[100]
45,2019-01-29,[100]
46,2019-01-30,[100]
47,2019-01-31,[100]
48,2019-02-01,[100]
49,2019-02-04,[100]
50,2019-02-05,[100]
51,2019-02-06,[100]
52,2019-02-07,[100]
53,2019-02-08,[100]
54,2019-02-11,[100]
55,2019-02-12,[100]
56,2019-02-13,[100]
57,2019-02-14,[100]
58,2019-02-15,[100]
59,2019-02-19,[100]
60,2019-02-20,[100]
61,2019-02-21,[100]
62,2019-02-22,[100]
63,2019-02-25,[100]
64,2019-02-26,[100]
65,2019-02-27,[100]
66,2019-02-28,[100]
67,2019-03-01,[100]
68,2019-03-04,[100]
69,2019-03-05,[100]
70,2019-03-06,[100]
71,2019-03-07,[100]
72,2019-03-08,[100]
73,2019-03-11,[100]
74,2019-03-12,[100]
75,2019-03-13,[100]
76,2019-03-14,[100]
77,2019-03-15,[100]
78,2019-03-18,[100]
79,2019-03-19,[100]
80,2019-03-20,[100]
81,2019-03-21,[100]
